Decile,Sample,Value
6,s_C_CD7FXE_N001_d,214
7,s_C_CD7FXE_N001_d,237
8,s_C_CD7FXE_N001_d,264
9,s_C_CD7FXE_N001_d,298
10,s_C_CD7FXE_N001_d,349
11,s_C_CD7FXE_N001_d,794
1,s_C_RATMA7_N001_d,2
2,s_C_RATMA7_N001_d,64
3,s_C_RATMA7_N001_d,79
4,s_C_RATMA7_N001_d,91
5,s_C_RATMA7_N001_d,103
6,s_C_RATMA7_N001_d,115
7,s_C_RATMA7_N001_d,128
8,s_C_RATMA7_N001_d,143
9,s_C_RATMA7_N001_d,163
10,s_C_RATMA7_N001_d,194
11,s_C_RATMA7_N001_d,445
1,s_C_9KL29X_N001_d,2
2,s_C_9KL29X_N001_d,131
3,s_C_9KL29X_N001_d,154
4,s_C_9KL29X_N001_d,175
5,s_C_9KL29X_N001_d,196
6,s_C_9KL29X_N001_d,218
7,s_C_9KL29X_N001_d,242
8,s_C_9KL29X_N001_d,270
9,s_C_9KL29X_N001_d,305
10,s_C_9KL29X_N001_d,357
11,s_C_9KL29X_N001_d,808
1,s_C_F666AJ_N001_d,2
2,s_C_F666AJ_N001_d,128
3,s_C_F666AJ_N001_d,150
4,s_C_F666AJ_N001_d,170
5,s_C_F666AJ_N001_d,189
6,s_C_F666AJ_N001_d,210
7,s_C_F666AJ_N001_d,232
8,s_C_F666AJ_N001_d,258
9,s_C_F666AJ_N001_d,291
10,s_C_F666AJ_N001_d,340
11,s_C_F666AJ_N001_d,760
1,s_C_PVVLET_N001_d,2
2,s_C_PVVLET_N001_d,57
3,s_C_PVVLET_N001_d,69
4,s_C_PVVLET_N001_d,80
5,s_C_PVVLET_N001_d,90
6,s_C_PVVLET_N001_d,101
7,s_C_PVVLET_N001_d,112
8,s_C_PVVLET_N001_d,126
9,s_C_PVVLET_N001_d,143
10,s_C_PVVLET_N001_d,170
11,s_C_PVVLET_N001_d,391
1,s_C_E6039Y_N001_d,2
2,s_C_E6039Y_N001_d,91
3,s_C_E6039Y_N001_d,110
4,s_C_E6039Y_N001_d,125
5,s_C_E6039Y_N001_d,139
6,s_C_E6039Y_N001_d,153
7,s_C_E6039Y_N001_d,168
8,s_C_E6039Y_N001_d,187
9,s_C_E6039Y_N001_d,211
10,s_C_E6039Y_N001_d,249
11,s_C_E6039Y_N001_d,543
1,s_C_C15KVL_N001_d,2
2,s_C_C15KVL_N001_d,128
3,s_C_C15KVL_N001_d,152
4,s_C_C15KVL_N001_d,173
